"IndivYr","AnimalID","VI95","VI50","Dist","MigStatus","MigRank","Date","AvgDE","DEclass","AvgGHerb","AvgGShrub","AvgGForage","IFBF","preg_pspb","LactStatus","girthmass","adjmass","Age","HRarea"
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-04,2.67208613188607,"Marginal",10.2315098612614,68.2324477891952,78.4639576504566,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-05,2.50033502795695,"Marginal",2.98888652207075,259.047660378576,262.036546900647,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-06,2.4600957389442,"Marginal",2.67102841889227,121.51192937024,124.182957789132,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-07,2.48197795578991,"Marginal",1.96829890542263,24.3623833627436,26.3306822681662,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-08,2.56516998622131,"Marginal",3.34483570870172,241.049034868338,244.39387057704,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-09,2.61696226316084,"Marginal",2.64763694545528,236.753010846051,239.400647791506,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-10,2.52214551383469,"Marginal",3.34446815760312,213.323260608145,216.667728765748,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-11,2.49895404245758,"Marginal",3.56887728240106,222.264065010708,225.832942293109,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-12,2.52756776098071,"Marginal",3.33572575737463,163.776048508912,167.111774266287,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-13,2.55825313917051,"Marginal",5.40889595368155,468.655459222269,474.064355175951,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
